Setting TERRIER_HOME to /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0
FATAL - Failed to load index. Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
A problem occurred: java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
	at org.terrier.applications.batchquerying.TRECQuerying.loadIndex(TRECQuerying.java:359)
	at org.terrier.applications.batchquerying.TRECQuerying.<init>(TRECQuerying.java:270)
	at org.terrier.applications.TrecTerrier.run(TrecTerrier.java:414)
	at org.terrier.applications.TrecTerrier.applyOptions(TrecTerrier.java:588)
	at org.terrier.applications.TrecTerrier.main(TrecTerrier.java:245)
iprec_at_recall_0.00  	781	1.0000
iprec_at_recall_0.10  	781	0.8507
iprec_at_recall_0.20  	781	0.7530
iprec_at_recall_0.30  	781	0.7137
iprec_at_recall_0.40  	781	0.6568
iprec_at_recall_0.50  	781	0.5569
iprec_at_recall_0.60  	781	0.5377
iprec_at_recall_0.70  	781	0.4532
iprec_at_recall_0.80  	781	0.0000
iprec_at_recall_0.90  	781	0.0000
iprec_at_recall_1.00  	781	0.0000
P_5                   	781	1.0000
P_10                  	781	1.0000
P_15                  	781	1.0000
P_20                  	781	0.9000
P_30                  	781	0.9000
P_100                 	781	0.7700
P_200                 	781	0.7300
P_500                 	781	0.5560
P_1000                	781	0.4250
num_ret               	782	1000
num_rel               	782	207
num_rel_ret           	782	201
map                   	782	0.6922
Rprec                 	782	0.7005
bpref                 	782	0.7977
recip_rank            	782	1.0000
iprec_at_recall_0.00  	782	1.0000
iprec_at_recall_0.10  	782	0.8605
iprec_at_recall_0.20  	782	0.8333
iprec_at_recall_0.30  	782	0.8058
iprec_at_recall_0.40  	782	0.8058
iprec_at_recall_0.50  	782	0.7748
iprec_at_recall_0.60  	782	0.7719
iprec_at_recall_0.70  	782	0.7073
iprec_at_recall_0.80  	782	0.5901
iprec_at_recall_0.90  	782	0.4060
iprec_at_recall_1.00  	782	0.0000
P_5                   	782	0.8000
P_10                  	782	0.7000
P_15                  	782	0.6667
P_20                  	782	0.7500
P_30                  	782	0.8000
P_100                 	782	0.8000
P_200                 	782	0.7150
P_500                 	782	0.3840
P_1000                	782	0.2010
num_ret               	783	1000
num_rel               	783	81
num_rel_ret           	783	56
map                   	783	0.0836
Rprec                 	783	0.1605
bpref                 	783	0.1110
recip_rank            	783	0.0909
iprec_at_recall_0.00  	783	0.2500
iprec_at_recall_0.10  	783	0.2264
iprec_at_recall_0.20  	783	0.1569
iprec_at_recall_0.30  	783	0.1488
iprec_at_recall_0.40  	783	0.0885
iprec_at_recall_0.50  	783	0.0624
iprec_at_recall_0.60  	783	0.0624
iprec_at_recall_0.70  	783	0.0000
iprec_at_recall_0.80  	783	0.0000
iprec_at_recall_0.90  	783	0.0000
iprec_at_recall_1.00  	783	0.0000
P_5                   	783	0.0000
P_10                  	783	0.0000
P_15                  	783	0.0667
P_20                  	783	0.1500
P_30                  	783	0.2333
P_100                 	783	0.1500
P_200                 	783	0.1350
P_500                 	783	0.0700
P_1000                	783	0.0560
num_ret               	784	1000
num_rel               	784	4
num_rel_ret           	784	4
map                   	784	0.5238
Rprec                 	784	0.2500
bpref                 	784	0.3125
recip_rank            	784	1.0000
iprec_at_recall_0.00  	784	1.0000
iprec_at_recall_0.10  	784	1.0000
iprec_at_recall_0.20  	784	1.0000
iprec_at_recall_0.30  	784	0.4286
iprec_at_recall_0.40  	784	0.4286
iprec_at_recall_0.50  	784	0.4286
iprec_at_recall_0.60  	784	0.4286
iprec_at_recall_0.70  	784	0.4286
iprec_at_recall_0.80  	784	0.2667
iprec_at_recall_0.90  	784	0.2667
iprec_at_recall_1.00  	784	0.2667
P_5                   	784	0.4000
P_10                  	784	0.3000
P_15                  	784	0.2667
P_20                  	784	0.2000
P_30                  	784	0.1333
P_100                 	784	0.0400
P_200                 	784	0.0200
P_500                 	784	0.0080
P_1000                	784	0.0040
num_ret               	785	1000
num_rel               	785	188
num_rel_ret           	785	95
map                   	785	0.2290
Rprec                 	785	0.3191
bpref                 	785	0.2705
recip_rank            	785	1.0000
iprec_at_recall_0.00  	785	1.0000
iprec_at_recall_0.10  	785	0.7308
iprec_at_recall_0.20  	785	0.5970
iprec_at_recall_0.30  	785	0.3494
iprec_at_recall_0.40  	785	0.1228
iprec_at_recall_0.50  	785	0.1002
iprec_at_recall_0.60  	785	0.0000
iprec_at_recall_0.70  	785	0.0000
iprec_at_recall_0.80  	785	0.0000
iprec_at_recall_0.90  	785	0.0000
iprec_at_recall_1.00  	785	0.0000
P_5                   	785	1.0000
P_10                  	785	0.8000
P_15                  	785	0.8667
P_20                  	785	0.8000
P_30                  	785	0.7000
P_100                 	785	0.4800
P_200                 	785	0.3050
P_500                 	785	0.1500
P_1000                	785	0.0950
num_ret               	786	1000
num_rel               	786	237
num_rel_ret           	786	223
map                   	786	0.4121
Rprec                 	786	0.4599
bpref                 	786	0.4968
recip_rank            	786	0.5000
iprec_at_recall_0.00  	786	0.8571
iprec_at_recall_0.10  	786	0.5970
iprec_at_recall_0.20  	786	0.5378
iprec_at_recall_0.30  	786	0.4839
iprec_at_recall_0.40  	786	0.4676
iprec_at_recall_0.50  	786	0.4388
iprec_at_recall_0.60  	786	0.4126
iprec_at_recall_0.70  	786	0.3839
iprec_at_recall_0.80  	786	0.3142
iprec_at_recall_0.90  	786	0.2635
iprec_at_recall_1.00  	786	0.0000
P_5                   	786	0.8000
P_10                  	786	0.6000
P_15                  	786	0.5333
P_20                  	786	0.4500
P_30                  	786	0.4333
P_100                 	786	0.5000
P_200                 	786	0.4600
P_500                 	786	0.3540
P_1000                	786	0.2230
num_ret               	787	1000
num_rel               	787	435
num_rel_ret           	787	358
map                   	787	0.6508
Rprec                 	787	0.5931
bpref                 	787	0.7506
recip_rank            	787	1.0000
iprec_at_recall_0.00  	787	1.0000
iprec_at_recall_0.10  	787	1.0000
iprec_at_recall_0.20  	787	0.9902
iprec_at_recall_0.30  	787	0.9712
iprec_at_recall_0.40  	787	0.9255
iprec_at_recall_0.50  	787	0.7475
iprec_at_recall_0.60  	787	0.5905
iprec_at_recall_0.70  	787	0.4912
iprec_at_recall_0.80  	787	0.3770
iprec_at_recall_0.90  	787	0.0000
iprec_at_recall_1.00  	787	0.0000
P_5                   	787	1.0000
P_10                  	787	1.0000
P_15                  	787	1.0000
P_20                  	787	1.0000
P_30                  	787	1.0000
P_100                 	787	0.9900
P_200                 	787	0.8950
P_500                 	787	0.5480
P_1000                	787	0.3580
num_ret               	788	1000
num_rel               	788	143
num_rel_ret           	788	137
map                   	788	0.6186
Rprec                 	788	0.6014
bpref                 	788	0.6086
recip_rank            	788	1.0000
iprec_at_recall_0.00  	788	1.0000
iprec_at_recall_0.10  	788	0.9000
iprec_at_recall_0.20  	788	0.8788
iprec_at_recall_0.30  	788	0.8000
iprec_at_recall_0.40  	788	0.7342
iprec_at_recall_0.50  	788	0.6581
iprec_at_recall_0.60  	788	0.6099
iprec_at_recall_0.70  	788	0.5479
iprec_at_recall_0.80  	788	0.3547
iprec_at_recall_0.90  	788	0.2190
iprec_at_recall_1.00  	788	0.0000
P_5                   	788	1.0000
P_10                  	788	1.0000
P_15                  	788	0.8667
P_20                  	788	0.9000
P_30                  	788	0.8667
P_100                 	788	0.6600
P_200                 	788	0.5250
P_500                 	788	0.2520
P_1000                	788	0.1370
num_ret               	789	1000
num_rel               	789	213
num_rel_ret           	789	166
map                   	789	0.3016
Rprec                 	789	0.3474
bpref                 	789	0.3163
recip_rank            	789	1.0000
iprec_at_recall_0.00  	789	1.0000
iprec_at_recall_0.10  	789	0.5000
iprec_at_recall_0.20  	789	0.4701
iprec_at_recall_0.30  	789	0.4323
iprec_at_recall_0.40  	789	0.3346
iprec_at_recall_0.50  	789	0.3152
iprec_at_recall_0.60  	789	0.3025
iprec_at_recall_0.70  	789	0.2547
iprec_at_recall_0.80  	789	0.0000
iprec_at_recall_0.90  	789	0.0000
iprec_at_recall_1.00  	789	0.0000
P_5                   	789	0.6000
P_10                  	789	0.7000
P_15                  	789	0.6667
P_20                  	789	0.5500
P_30                  	789	0.5333
P_100                 	789	0.4700
P_200                 	789	0.3650
P_500                 	789	0.2760
P_1000                	789	0.1660
num_ret               	790	1000
num_rel               	790	69
num_rel_ret           	790	66
map                   	790	0.5528
Rprec                 	790	0.5362
bpref                 	790	0.5190
recip_rank            	790	1.0000
iprec_at_recall_0.00  	790	1.0000
iprec_at_recall_0.10  	790	1.0000
iprec_at_recall_0.20  	790	1.0000
iprec_at_recall_0.30  	790	0.7857
iprec_at_recall_0.40  	790	0.6275
iprec_at_recall_0.50  	790	0.6034
iprec_at_recall_0.60  	790	0.4941
iprec_at_recall_0.70  	790	0.3630
iprec_at_recall_0.80  	790	0.0932
iprec_at_recall_0.90  	790	0.0695
iprec_at_recall_1.00  	790	0.0000
P_5                   	790	1.0000
P_10                  	790	1.0000
P_15                  	790	1.0000
P_20                  	790	0.8500
P_30                  	790	0.7667
P_100                 	790	0.4600
P_200                 	790	0.2600
P_500                 	790	0.1100
P_1000                	790	0.0660
num_ret               	791	1000
num_rel               	791	74
num_rel_ret           	791	72
map                   	791	0.4844
Rprec                 	791	0.5000
bpref                 	791	0.4355
recip_rank            	791	1.0000
iprec_at_recall_0.00  	791	1.0000
iprec_at_recall_0.10  	791	0.6842
iprec_at_recall_0.20  	791	0.6250
iprec_at_recall_0.30  	791	0.6000
iprec_at_recall_0.40  	791	0.5303
iprec_at_recall_0.50  	791	0.5067
iprec_at_recall_0.60  	791	0.4245
iprec_at_recall_0.70  	791	0.3946
iprec_at_recall_0.80  	791	0.3636
iprec_at_recall_0.90  	791	0.3190
iprec_at_recall_1.00  	791	0.0000
P_5                   	791	0.8000
P_10                  	791	0.7000
P_15                  	791	0.6000
P_20                  	791	0.6500
P_30                  	791	0.5667
P_100                 	791	0.4100
P_200                 	791	0.3300
P_500                 	791	0.1380
P_1000                	791	0.0720
num_ret               	792	1000
num_rel               	792	228
num_rel_ret           	792	122
map                   	792	0.1845
Rprec                 	792	0.3026
bpref                 	792	0.3342
recip_rank            	792	1.0000
iprec_at_recall_0.00  	792	1.0000
iprec_at_recall_0.10  	792	0.5217
iprec_at_recall_0.20  	792	0.4000
iprec_at_recall_0.30  	792	0.3034
iprec_at_recall_0.40  	792	0.2022
iprec_at_recall_0.50  	792	0.1331
iprec_at_recall_0.60  	792	0.0000
iprec_at_recall_0.70  	792	0.0000
iprec_at_recall_0.80  	792	0.0000
iprec_at_recall_0.90  	792	0.0000
iprec_at_recall_1.00  	792	0.0000
P_5                   	792	0.6000
P_10                  	792	0.4000
P_15                  	792	0.4667
P_20                  	792	0.5500
P_30                  	792	0.6000
P_100                 	792	0.4200
P_200                 	792	0.3100
P_500                 	792	0.1940
P_1000                	792	0.1220
num_ret               	793	1000
num_rel               	793	142
num_rel_ret           	793	136
map                   	793	0.2488
Rprec                 	793	0.2394
bpref                 	793	0.1761
recip_rank            	793	1.0000
iprec_at_recall_0.00  	793	1.0000
iprec_at_recall_0.10  	793	0.3103
iprec_at_recall_0.20  	793	0.3085
iprec_at_recall_0.30  	793	0.2874
iprec_at_recall_0.40  	793	0.2874
iprec_at_recall_0.50  	793	0.2874
iprec_at_recall_0.60  	793	0.2386
iprec_at_recall_0.70  	793	0.2245
iprec_at_recall_0.80  	793	0.2245
iprec_at_recall_0.90  	793	0.2245
iprec_at_recall_1.00  	793	0.0000
P_5                   	793	0.4000
P_10                  	793	0.3000
P_15                  	793	0.3333
P_20                  	793	0.3000
P_30                  	793	0.3000
P_100                 	793	0.2900
P_200                 	793	0.2400
P_500                 	793	0.2160
P_1000                	793	0.1360
num_ret               	794	1000
num_rel               	794	83
num_rel_ret           	794	35
map                   	794	0.1249
Rprec                 	794	0.2048
bpref                 	794	0.1560
recip_rank            	794	1.0000
iprec_at_recall_0.00  	794	1.0000
iprec_at_recall_0.10  	794	0.3333
iprec_at_recall_0.20  	794	0.2329
iprec_at_recall_0.30  	794	0.0952
iprec_at_recall_0.40  	794	0.0447
iprec_at_recall_0.50  	794	0.0000
iprec_at_recall_0.60  	794	0.0000
iprec_at_recall_0.70  	794	0.0000
iprec_at_recall_0.80  	794	0.0000
iprec_at_recall_0.90  	794	0.0000
iprec_at_recall_1.00  	794	0.0000
P_5                   	794	0.8000
P_10                  	794	0.6000
P_15                  	794	0.4667
P_20                  	794	0.4000
P_30                  	794	0.3000
P_100                 	794	0.1800
P_200                 	794	0.1100
P_500                 	794	0.0600
P_1000                	794	0.0350
num_ret               	795	1000
num_rel               	795	43
num_rel_ret           	795	35
map                   	795	0.0629
Rprec                 	795	0.0233
bpref                 	795	0.0141
recip_rank            	795	0.0556
iprec_at_recall_0.00  	795	0.1156
iprec_at_recall_0.10  	795	0.1156
iprec_at_recall_0.20  	795	0.1156
iprec_at_recall_0.30  	795	0.1156
iprec_at_recall_0.40  	795	0.1156
iprec_at_recall_0.50  	795	0.1156
iprec_at_recall_0.60  	795	0.1156
iprec_at_recall_0.70  	795	0.0885
iprec_at_recall_0.80  	795	0.0362
iprec_at_recall_0.90  	795	0.0000
iprec_at_recall_1.00  	795	0.0000
P_5                   	795	0.0000
P_10                  	795	0.0000
P_15                  	795	0.0000
P_20                  	795	0.0500
P_30                  	795	0.0333
P_100                 	795	0.0700
P_200                 	795	0.0900
P_500                 	795	0.0600
P_1000                	795	0.0350
num_ret               	796	1000
num_rel               	796	201
num_rel_ret           	796	123
map                   	796	0.2357
Rprec                 	796	0.3483
bpref                 	796	0.3279
recip_rank            	796	1.0000
iprec_at_recall_0.00  	796	1.0000
iprec_at_recall_0.10  	796	0.5532
iprec_at_recall_0.20  	796	0.5000
iprec_at_recall_0.30  	796	0.3861
iprec_at_recall_0.40  	796	0.2967
iprec_at_recall_0.50  	796	0.1776
iprec_at_recall_0.60  	796	0.1314
iprec_at_recall_0.70  	796	0.0000
iprec_at_recall_0.80  	796	0.0000
iprec_at_recall_0.90  	796	0.0000
iprec_at_recall_1.00  	796	0.0000
P_5                   	796	0.8000
P_10                  	796	0.6000
P_15                  	796	0.5333
P_20                  	796	0.6000
P_30                  	796	0.6333
P_100                 	796	0.4600
P_200                 	796	0.3500
P_500                 	796	0.2000
P_1000                	796	0.1230
num_ret               	797	1000
num_rel               	797	173
num_rel_ret           	797	160
map                   	797	0.5661
Rprec                 	797	0.5780
bpref                 	797	0.6199
recip_rank            	797	1.0000
iprec_at_recall_0.00  	797	1.0000
iprec_at_recall_0.10  	797	0.7826
iprec_at_recall_0.20  	797	0.7778
iprec_at_recall_0.30  	797	0.7368
iprec_at_recall_0.40  	797	0.6796
iprec_at_recall_0.50  	797	0.6642
iprec_at_recall_0.60  	797	0.5645
iprec_at_recall_0.70  	797	0.5214
iprec_at_recall_0.80  	797	0.4094
iprec_at_recall_0.90  	797	0.1962
iprec_at_recall_1.00  	797	0.0000
P_5                   	797	0.8000
P_10                  	797	0.8000
P_15                  	797	0.8667
P_20                  	797	0.7500
P_30                  	797	0.7333
P_100                 	797	0.6800
P_200                 	797	0.5500
P_500                 	797	0.2980
P_1000                	797	0.1600
num_ret               	798	1000
num_rel               	798	98
num_rel_ret           	798	82
map                   	798	0.3383
Rprec                 	798	0.4694
bpref                 	798	0.3869
recip_rank            	798	0.5000
iprec_at_recall_0.00  	798	0.6364
iprec_at_recall_0.10  	798	0.6364
iprec_at_recall_0.20  	798	0.5714
iprec_at_recall_0.30  	798	0.5357
iprec_at_recall_0.40  	798	0.5190
iprec_at_recall_0.50  	798	0.4050
iprec_at_recall_0.60  	798	0.3207
iprec_at_recall_0.70  	798	0.1840
iprec_at_recall_0.80  	798	0.1215
iprec_at_recall_0.90  	798	0.0000
iprec_at_recall_1.00  	798	0.0000
P_5                   	798	0.2000
P_10                  	798	0.4000
P_15                  	798	0.6000
P_20                  	798	0.6000
P_30                  	798	0.5333
P_100                 	798	0.4600
P_200                 	798	0.2950
P_500                 	798	0.1440
P_1000                	798	0.0820
num_ret               	799	1000
num_rel               	799	157
num_rel_ret           	799	45
map                   	799	0.0643
Rprec                 	799	0.2229
bpref                 	799	0.1597
recip_rank            	799	0.1429
iprec_at_recall_0.00  	799	0.2791
iprec_at_recall_0.10  	799	0.2791
iprec_at_recall_0.20  	799	0.2414
iprec_at_recall_0.30  	799	0.0000
iprec_at_recall_0.40  	799	0.0000
iprec_at_recall_0.50  	799	0.0000
iprec_at_recall_0.60  	799	0.0000
iprec_at_recall_0.70  	799	0.0000
iprec_at_recall_0.80  	799	0.0000
iprec_at_recall_0.90  	799	0.0000
iprec_at_recall_1.00  	799	0.0000
P_5                   	799	0.0000
P_10                  	799	0.2000
P_15                  	799	0.1333
P_20                  	799	0.1500
P_30                  	799	0.1667
P_100                 	799	0.2500
P_200                 	799	0.2250
P_500                 	799	0.0900
P_1000                	799	0.0450
num_ret               	800	1000
num_rel               	800	155
num_rel_ret           	800	125
map                   	800	0.2274
Rprec                 	800	0.3548
bpref                 	800	0.2626
recip_rank            	800	0.1111
iprec_at_recall_0.00  	800	0.4167
iprec_at_recall_0.10  	800	0.4043
iprec_at_recall_0.20  	800	0.4043
iprec_at_recall_0.30  	800	0.3810
iprec_at_recall_0.40  	800	0.3163
iprec_at_recall_0.50  	800	0.2591
iprec_at_recall_0.60  	800	0.2136
iprec_at_recall_0.70  	800	0.1883
iprec_at_recall_0.80  	800	0.1291
iprec_at_recall_0.90  	800	0.0000
iprec_at_recall_1.00  	800	0.0000
P_5                   	800	0.0000
P_10                  	800	0.2000
P_15                  	800	0.2667
P_20                  	800	0.2000
P_30                  	800	0.3000
P_100                 	800	0.3900
P_200                 	800	0.3100
P_500                 	800	0.1960
P_1000                	800	0.1250
runid                 	all	DPH_Bo1bfree
num_q                 	all	50
num_ret               	all	50000
num_rel               	all	10407
num_rel_ret           	all	7661
map                   	all	0.3742
gm_map                	all	0.2898
Rprec                 	all	0.4108
bpref                 	all	0.4174
recip_rank            	all	0.8129
iprec_at_recall_0.00  	all	0.8678
iprec_at_recall_0.10  	all	0.6784
iprec_at_recall_0.20  	all	0.5880
iprec_at_recall_0.30  	all	0.5008
iprec_at_recall_0.40  	all	0.4429
iprec_at_recall_0.50  	all	0.3853
iprec_at_recall_0.60  	all	0.3256
iprec_at_recall_0.70  	all	0.2520
iprec_at_recall_0.80  	all	0.1623
iprec_at_recall_0.90  	all	0.0816
iprec_at_recall_1.00  	all	0.0101
P_5                   	all	0.6720
P_10                  	all	0.6360
P_15                  	all	0.6360
P_20                  	all	0.6220
P_30                  	all	0.5853
P_100                 	all	0.4762
P_200                 	all	0.3930
P_500                 	all	0.2494
P_1000                	all	0.1532
